歌曲名,歌手,专辑,类别
Do for Love,2Pac,R U Still Down? (Remember Me),Hip-Hop/Rap
Can't Feel My Face,Abel Tesfaye,Beauty Behind the Madness,R&B/Soul
Cry For Me,Abel Tesfaye,Hurry Up Tomorrow (Video Album),R&B/Soul
Die For You,Abel Tesfaye,Starboy,R&B/Soul
I Feel It Coming (feat. Daft Punk),Abel Tesfaye,Starboy,R&B/Soul
Starboy (feat. Daft Punk),Abel Tesfaye,Starboy,R&B/Soul
Turin (feat. Aura T-09) [Mixed],Actress,Early Hours (DJ Mix),Electronic
Mars,Alexander 23,Mars - Single,Pop
REEL IT IN,Aminé,ONEPOINTFIVE,Hip-Hop/Rap
Love the Way (Mixed),Andrew Ashong,Ninja Tune Presents: Solid Steel with Maribou State (DJ Mix),Electronic
When the Sun Goes Down,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Alternative
"thank u, next",Ariana Grande,"thank u, next",Pop
Cola,Arlo Parks,Super Sad Generation - EP,Hip-Hop/Rap
Super Sad Generation,Arlo Parks,Super Sad Generation - EP,Hip-Hop/Rap
Brick,Ben Folds Five,Whatever and Ever Amen,Alternative
Jealous of Roses (Mixed),Bibio,Ninja Tune Presents: Solid Steel with Maribou State (DJ Mix),Electronic
Most Precious Love (feat. Barbara Tucker) [Copyright Remix],Blaze & UDAUFL,Most Precious Love (feat. Barbara Tucker) [Copyright Remixes] - EP,House
All U Gotta Do,Bou,All U Gotta Do - Single,Dance
No Guidance (feat. Drake),Chris Brown,Indigo,R&B/Soul
"Thank U, Next",CHVRT H!TS,"THE BEST HITS OF CHART GIRLS, VOL. 2",Pop
Sexy to Someone,Clairo,Charm,Alternative
Xoxoxo,corto.alto,Bad with Names,Jazz
Ye Ye,Daphni,Jiaolong,Electronic
The Lake (Mixed),Denai Moore,Ninja Tune Presents: Solid Steel with Maribou State (DJ Mix),Electronic
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,Grateful,Hip-Hop/Rap
Nite Ride (Mixed),DJ Qu,Early Hours (DJ Mix),Electronic
Passionfruit,Drake,More Life,Hip-Hop/Rap
